,UserName,DeltaPercentage,TotalViewerCount,LeaversFollowers
71,Flanalistaa,0.8763510449914764,4571984,2
72,clid,-0.7308938394312469,957268,1
73,ClovaoBengala,0.3504536474286365,2887391,1
74,rainbrain,0.23814909626607006,10747827,0
75,Metaphor,0.11473311062141384,2422325,1
76,AdcShiiro,0.07912013558025399,1013630,0
77,OgamingLoL,-0.6426278902211177,164950493,2
78,Faker,-6.080479174433307,66177341,8
79,TFBlade,2.130871763173916,37547888,7
80,테디이,-0.21080749033983448,2350766,2
81,Solary,-2.718889741568611,87110241,0
82,lol_Khan,0.18130790984514888,1530934,2
83,Flanalistaa,0.9171149099361209,4571984,2
84,clid,-0.5835640162310896,957268,1
85,ClovaoBengala,0.39070218704059834,2887391,1
86,rainbrain,0.2566136148399878,10747827,0
87,Metaphor,0.10885693972402788,2422325,1
88,AdcShiiro,0.08230748242110181,1013630,0
89,OgamingLoL,-0.6265190922596299,164950493,2
90,Faker,-3.563821379998142,66177341,8
91,TFBlade,2.3902007135809153,37547888,7
92,Solary,-2.660724480110618,87110241,0
93,테디이,-0.3237190853927898,2350766,2
94,lol_Khan,0.14579588060228987,1530934,2
95,Flanalistaa,0.8448999524745358,4571984,2
96,clid,-0.6829567751669503,957268,1
97,ClovaoBengala,0.3740480307596328,2887391,1
98,rainbrain,0.3012274156643091,10747827,0
99,Metaphor,0.1493791749794398,2422325,1
100,AdcShiiro,0.09500787700876434,1013630,0
101,OgamingLoL,-0.6189244171628399,164950493,2
102,Faker,4.055193300153444,66177341,9
103,lol_Khan,1.1930864084493529,1530934,2
104,테디이,0.5369197328235615,2350766,2
105,Solary,-2.236530871438598,87110241,0
106,Flanalistaa,1.0427783590853075,4571984,2
107,clid,-0.3278646172362556,957268,1
108,ClovaoBengala,0.5713499673182537,2887391,1
109,rainbrain,0.4826189866652435,10747827,0
110,AdcShiiro,0.2309868698060249,1013630,0
111,OgamingLoL,-0.5505297641086986,164950493,2
112,Faker,10.976992509098864,66177341,9
113,lol_Khan,1.3082594072617846,1530934,2
114,Solary,-2.2312625998175024,87110241,0
115,테디이,-0.0056255672175946625,2350766,2
116,Flanalistaa,0.9734775280232599,4571984,2
117,clid,-0.6251387881739325,957268,1
118,ClovaoBengala,0.49339903293644516,2887391,1
119,rainbrain,0.4728094481757298,10747827,0
120,AdcShiiro,0.19918088899709657,1013630,0
121,OgamingLoL,-0.5564784098836173,164950493,2
122,Faker,10.983546051993812,66177341,10
123,lol_Khan,1.0078354404844012,1530934,3
124,Solary,-2.240153306825925,87110241,0
125,clid,-0.3381033050908766,957268,2
126,Flanalistaa,0.7914421906160511,4571984,2
127,rainbrain,0.48675857162342995,10747827,0
128,AdcShiiro,0.14366407806659787,1013630,0
129,OgamingLoL,-0.5884082518077434,164950493,2
130,Solary,-1.6589302352793838,87110241,0
131,Flanalistaa,1.2571045989208187,4571984,2
132,rainbrain,1.0849691234843692,10747827,0
133,AdcShiiro,0.37780405787791504,1013630,0
134,OgamingLoL,-0.4513749798055785,164950493,2
135,Solary,-1.1411215992320805,87110241,0
136,Flanalistaa,1.1304535809038736,4571984,2
137,rainbrain,0.8065502168737695,10747827,0
138,AdcShiiro,0.279051216167991,1013630,0
139,OgamingLoL,-0.33493838318297375,164950493,2
140,Solary,-1.3919596280111133,87110241,0
141,rainbrain,0.6609151544770162,10747827,0
